from,to,weight,ref,note
religion,justice,1.0,ST II-II Q81,Religion is a potential part of justice
piety,justice,1.0,ST II-II Q101,Piety is a potential part of justice
observance,justice,1.0,ST II-II Q102,Observance is a potential part of justice
gratitude,justice,1.0,ST II-II Q106,Gratitude is a potential part of justice
vindication,justice,1.0,ST II-II Q108,Vindication is a potential part of justice
truthfulness,justice,1.0,ST II-II Q109,Truthfulness is a potential part of justice
affability,justice,1.0,ST II-II Q114,Affability is a potential part of justice
liberality,justice,1.0,ST II-II Q117,Liberality is a potential part of justice
continence,temperance,1.0,ST II-II Q143,Continence is a potential part of temperance
meekness,temperance,1.0,ST II-II Q143,Meekness is a potential part of temperance that moderates anger
clemency,temperance,1.0,ST II-II Q143,Clemency is a potential part of temperance that moderates punishment
humility,temperance,1.0,ST II-II Q143,Humility is a potential part of temperance that moderates the appetite for excellence
modesty,temperance,1.0,ST II-II Q143,Modesty is a potential part of temperance
